ID,Nome,Idade,Regiao,Contrato,Carteirinha,Inspecao_Medica,Primeiro_Contrato,Ultimo_Contrato,Recomendacao
13585,Fernando Alves Torres,54,Oeste,Dependente (13583),Ativada,Dentro da validade,,,Sim
13586,Fernanda Gomes Torres,33,Oeste,Dependente (13583),Desativada,Fora da validade,,,Sim
13587,Raquel Pires,40,Oeste,Sem Contrato,Ativada,Fora da validade,2010-08-01,2011-08-01,Não
13588,Adriana Farias,55,Sul,Sem Contrato,Ativada,Dentro da validade,2010-01-03,2011-01-03,Não
13589,Bruno Castro Farias,17,Sul,Dependente (13588),Ativada,Dentro da validade,,,Sim
13590,Lucia Ferreira Farias,10,Sul,Dependente (13588),Ativada,Fora da validade,,,Sim
13591,Paula Melo,23,Oeste,Sem Contrato,Desativada,Fora da validade,2010-09-14,2011-09-14,Sim
13592,Renata Campos,61,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-04-13,2015-04-12,Sim
13593,Felipe Barros Campos,8,Oeste,Dependente (13592),Ativada,Dentro da validade,,,Sim
13594,Alexandre Araújo Campos,39,Oeste,Dependente (13592),Ativada,Dentro da validade,2010-04-13,2015-04-12,Sim
13595,Anderson Coelho Campos,45,Oeste,Dependente (13592),Desativada,Dentro da validade,,,Sim
13596,Monica Batista,31,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-09-10,2011-09-10,Não
13597,Fernanda Gomes,31,Oeste,Sem Contrato,Ativada,Fora da validade,2010-10-03,2015-10-02,Sim
13598,Renata Campos,64,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-12-21,2020-12-18,Não
13599,Leticia Cunha Campos,7,Oeste,Dependente (13598),Desativada,Dentro da validade,,,Sim
13600,Amanda Dias Campos,18,Oeste,Dependente (13598),Ativada,Dentro da validade,2010-12-21,2020-12-18,Sim
13601,Gabriel Ramos,40,Oeste,Sem Contrato,Ativada,Fora da validade,2010-10-29,2020-10-26,Não
13602,Raquel Pires Ramos,16,Oeste,Dependente (13601),Ativada,Fora da validade,,,Sim
13603,Cristina Machado Ramos,46,Oeste,Dependente (13601),Ativada,Dentro da validade,,,Sim
13604,Maria Santos Ramos,58,Oeste,Dependente (13601),Ativada,Dentro da validade,,,Sim
13605,Silvia Cavalcanti Ramos,22,Oeste,Dependente (13601),Desativada,Dentro da validade,,,Sim
13606,Paula Melo Ramos,10,Oeste,Dependente (13601),Ativada,Fora da validade,,,Sim
13607,Daniela Sousa,66,Sul,Sem Contrato,Ativada,Dentro da validade,2010-03-24,2011-03-24,Sim
13608,Carolina Freitas Sousa,9,Sul,Dependente (13607),Ativada,Fora da validade,,,Sim
13609,Camila Rodrigues Sousa,28,Sul,Dependente (13607),Ativada,Fora da validade,,,Sim
13610,Carlos Souza Sousa,27,Sul,Dependente (13607),Ativada,Fora da validade,,,Sim
13611,Tatiana Moreira,44,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-11-12,2015-11-11,Sim
13612,Patricia Rocha Moreira,38,Oeste,Dependente (13611),Ativada,Dentro da validade,,,Sim
13613,José Carvalho Moreira,56,Oeste,Dependente (13611),Desativada,Dentro da validade,,,Sim
13614,Pedro Oliveira Moreira,42,Oeste,Dependente (13611),Ativada,Fora da validade,,,Sim
13615,Cristina Machado Moreira,64,Oeste,Dependente (13611),Ativada,Dentro da validade,,,Sim
13616,Anderson Coelho,61,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-07-13,2011-07-13,Sim
13617,Leticia Cunha Coelho,33,Oeste,Dependente (13616),Ativada,Dentro da validade,,,Sim
13618,Leticia Cunha Coelho,38,Oeste,Dependente (13616),Desativada,Dentro da validade,,,Sim
13619,Leonardo Vieira,63,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-08-20,2020-08-17,Não
13620,João Silva Vieira,54,Oeste,Dependente (13619),Ativada,Dentro da validade,,,Sim
13621,Fernanda Gomes,58,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-12-22,2015-12-21,Sim
13622,Amanda Dias,28,Norte,Sem Contrato,Ativada,Fora da validade,2010-03-02,2020-02-28,Não
13623,Lucia Ferreira Dias,13,Norte,Dependente (13622),Ativada,Dentro da validade,2010-03-02,2020-02-28,Sim
13624,Carolina Freitas Dias,9,Norte,Dependente (13622),Ativada,Dentro da validade,,,Sim
13625,João Silva Dias,49,Norte,Dependente (13622),Desativada,Dentro da validade,2010-03-02,2020-02-28,Sim
13626,Diego Pinto Dias,31,Norte,Dependente (13622),Desativada,Fora da validade,2010-03-02,2020-02-28,Sim
13627,Fernando Alves,39,Oeste,Sem Contrato,Desativada,Fora da validade,2010-12-28,2011-12-28,Não
13628,Cristina Machado,40,Oeste,Sem Contrato,Desativada,Fora da validade,2010-06-04,2020-06-01,Não
13629,Lucia Ferreira Machado,56,Oeste,Dependente (13628),Ativada,Fora da validade,,,Sim
13630,Marcelo Rezende Machado,6,Oeste,Dependente (13628),Desativada,Dentro da validade,,,Sim
13631,Beatriz Cardoso Machado,16,Oeste,Dependente (13628),Ativada,Fora da validade,,,Sim
13632,Felipe Barros,60,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-11-13,2015-11-12,Não
13633,Bruno Castro,21,Oeste,Sem Contrato,Ativada,Fora da validade,2010-07-13,2011-07-13,Não
13634,Carlos Souza Castro,27,Oeste,Dependente (13633),Ativada,Fora da validade,,,Sim
13635,Lucas Teixeira Castro,20,Oeste,Dependente (13633),Desativada,Dentro da validade,,,Sim
13636,Silvia Cavalcanti Castro,32,Oeste,Dependente (13633),Ativada,Fora da validade,,,Sim
13637,Rafael Mendes,19,Oeste,Sem Contrato,Ativada,Fora da validade,2010-06-20,2011-06-20,Sim
13638,Eduardo Moura Mendes,64,Oeste,Dependente (13637),Desativada,Fora da validade,,,Sim
13639,Leonardo Vieira Mendes,57,Oeste,Dependente (13637),Ativada,Fora da validade,,,Sim
13640,Rafael Mendes,66,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-11-24,2015-11-23,Sim
13641,Patricia Rocha Mendes,13,Oeste,Dependente (13640),Desativada,Dentro da validade,,,Sim
13642,Cristina Machado Mendes,50,Oeste,Dependente (13640),Ativada,Dentro da validade,,,Sim
13643,Maria Santos,41,Oeste,Sem Contrato,Ativada,Fora da validade,2010-11-16,2020-11-13,Não
13644,Bruno Castro Santos,51,Oeste,Dependente (13643),Desativada,Dentro da validade,,,Sim
13645,Carlos Souza Santos,41,Oeste,Dependente (13643),Ativada,Dentro da validade,2010-11-16,2020-11-13,Sim
13646,Vanessa Correia Santos,18,Oeste,Dependente (13643),Desativada,Dentro da validade,,,Sim
13647,Henrique Lopes Santos,7,Oeste,Dependente (13643),Ativada,Dentro da validade,,,Sim
13648,Juliana Lima Santos,56,Oeste,Dependente (13643),Desativada,Dentro da validade,,,Sim
13649,Bruno Castro,23,Oeste,Sem Contrato,Desativada,Fora da validade,2010-07-31,2020-07-28,Não
13650,Felipe Barros Castro,36,Oeste,Dependente (13649),Desativada,Dentro da validade,,,Sim
13651,Lucas Teixeira,55,Oeste,Sem Contrato,Ativada,Fora da validade,2010-09-30,2020-09-27,Não
13652,Amanda Dias Teixeira,9,Oeste,Dependente (13651),Desativada,Dentro da validade,2010-09-30,2020-09-27,Sim
13653,Adriana Farias Teixeira,15,Oeste,Dependente (13651),Ativada,Dentro da validade,,,Sim
13654,Maria Santos Teixeira,37,Oeste,Dependente (13651),Desativada,Dentro da validade,,,Sim
13655,Ana Costa Teixeira,34,Oeste,Dependente (13651),Ativada,Fora da validade,,,Sim
13656,Ana Costa Teixeira,16,Oeste,Dependente (13651),Ativada,Dentro da validade,2010-09-30,2020-09-27,Sim
13657,Vinicius Torres,50,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-04-29,2015-04-28,Não
13658,Lucia Ferreira Torres,59,Oeste,Dependente (13657),Ativada,Dentro da validade,,,Sim
13659,Carolina Freitas Torres,58,Oeste,Dependente (13657),Desativada,Fora da validade,,,Sim
13660,Rodrigo Neves Torres,22,Oeste,Dependente (13657),Ativada,Dentro da validade,,,Sim
13661,Renata Campos Torres,28,Oeste,Dependente (13657),Ativada,Fora da validade,2010-04-29,2015-04-28,Sim
13662,Juliana Lima Torres,43,Oeste,Dependente (13657),Ativada,Dentro da validade,,,Sim
13663,Bruna Ribeiro,42,Oeste,Sem Contrato,Ativada,Fora da validade,2010-07-29,2011-07-29,Sim
13664,Renata Campos Ribeiro,16,Oeste,Dependente (13663),Desativada,Dentro da validade,,,Sim
13665,Marcelo Rezende Ribeiro,49,Oeste,Dependente (13663),Desativada,Fora da validade,2010-07-29,2011-07-29,Sim
13666,Vanessa Correia Ribeiro,37,Oeste,Dependente (13663),Desativada,Dentro da validade,,,Sim
13667,Henrique Lopes,49,Oeste,Sem Contrato,Ativada,Fora da validade,2010-09-28,2020-09-25,Não
13668,Vinicius Torres Lopes,23,Oeste,Dependente (13667),Ativada,Fora da validade,,,Sim
13669,Patricia Rocha Lopes,45,Oeste,Dependente (13667),Ativada,Dentro da validade,,,Sim
13670,Vanessa Correia Lopes,41,Oeste,Dependente (13667),Ativada,Fora da validade,,,Sim
13671,Bruna Ribeiro,26,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-10-01,2020-09-28,Sim
13672,Eduardo Moura,41,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-05-15,2015-05-14,Sim
13673,Thiago Monteiro Moura,19,Oeste,Dependente (13672),Ativada,Dentro da validade,2010-05-15,2015-05-14,Sim
13674,Amanda Dias Moura,11,Oeste,Dependente (13672),Desativada,Fora da validade,2010-05-15,2015-05-14,Sim
13675,Amanda Dias Moura,7,Oeste,Dependente (13672),Ativada,Dentro da validade,2010-05-15,2015-05-14,Sim
13676,Simone Fonseca Moura,55,Oeste,Dependente (13672),Ativada,Dentro da validade,2010-05-15,2015-05-14,Sim
13677,Bruna Ribeiro,50,Oeste,Sem Contrato,Ativada,Fora da validade,2010-04-29,2020-04-26,Não
13678,Juliana Lima Ribeiro,37,Oeste,Dependente (13677),Desativada,Dentro da validade,,,Sim
13679,Diego Pinto,39,Oeste,Sem Contrato,Desativada,Fora da validade,2010-08-27,2020-08-24,Não
13680,Carolina Freitas Pinto,60,Oeste,Dependente (13679),Desativada,Dentro da validade,,,Sim
13681,Pedro Oliveira Pinto,44,Oeste,Dependente (13679),Ativada,Dentro da validade,2010-08-27,2020-08-24,Sim
13682,Amanda Dias Pinto,46,Oeste,Dependente (13679),Desativada,Fora da validade,,,Sim
13683,Tatiana Moreira Pinto,64,Oeste,Dependente (13679),Ativada,Fora da validade,,,Sim
13684,Pedro Oliveira Pinto,8,Oeste,Dependente (13679),Ativada,Fora da validade,,,Sim
13685,Thiago Monteiro Pinto,45,Oeste,Dependente (13679),Ativada,Fora da validade,,,Sim
13686,Mariana Duarte,30,Oeste,Sem Contrato,Desativada,Fora da validade,2010-08-08,2011-08-08,Não
13687,Diego Pinto Duarte,19,Oeste,Dependente (13686),Desativada,Dentro da validade,,,Sim
13688,Marcelo Rezende Duarte,32,Oeste,Dependente (13686),Ativada,Dentro da validade,,,Sim
13689,Maria Santos,30,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-08-31,2020-08-28,Não
13690,Silvia Cavalcanti Santos,21,Oeste,Dependente (13689),Ativada,Fora da validade,,,Sim
13691,Gustavo Azevedo Santos,38,Oeste,Dependente (13689),Ativada,Dentro da validade,,,Sim
13692,Ana Costa Santos,53,Oeste,Dependente (13689),Desativada,Dentro da validade,,,Sim
13693,Lucia Ferreira Santos,63,Oeste,Dependente (13689),Ativada,Dentro da validade,,,Sim
13694,Simone Fonseca Santos,29,Oeste,Dependente (13689),Ativada,Fora da validade,,,Sim
13695,Lucas Teixeira,57,Oeste,Sem Contrato,Ativada,Fora da validade,2010-02-11,2015-02-10,Não
13696,Thiago Monteiro,37,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-06-25,2015-06-24,Não
13697,Lucas Teixeira,51,Oeste,Sem Contrato,Desativada,Fora da validade,2010-01-19,2011-01-19,Não
13698,Diego Pinto,56,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-03-04,2020-03-01,Sim
13699,Pedro Oliveira Pinto,42,Oeste,Dependente (13698),Ativada,Dentro da validade,,,Sim
13700,Lucas Teixeira Pinto,52,Oeste,Dependente (13698),Desativada,Dentro da validade,,,Sim
13701,Thiago Monteiro Pinto,30,Oeste,Dependente (13698),Ativada,Dentro da validade,,,Sim
13702,Simone Fonseca Pinto,7,Oeste,Dependente (13698),Desativada,Dentro da validade,,,Sim
13703,Lucia Ferreira Pinto,46,Oeste,Dependente (13698),Ativada,Dentro da validade,,,Sim
13704,José Carvalho,28,Oeste,Sem Contrato,Desativada,Fora da validade,2010-03-06,2011-03-06,Sim
13705,Beatriz Cardoso,34,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-08-31,2015-08-30,Não
13706,Vinicius Torres,68,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-11-26,2020-11-23,Sim
13707,Rodrigo Neves Torres,24,Oeste,Dependente (13706),Ativada,Fora da validade,2010-11-26,2020-11-23,Sim
13708,Bruna Ribeiro Torres,14,Oeste,Dependente (13706),Ativada,Fora da validade,2010-11-26,2020-11-23,Sim
13709,Eduardo Moura Torres,24,Oeste,Dependente (13706),Desativada,Dentro da validade,,,Sim
13710,Juliana Lima,35,Oeste,Sem Contrato,Ativada,Fora da validade,2010-12-24,2020-12-21,Não
13711,Marcelo Rezende Lima,11,Oeste,Dependente (13710),Ativada,Dentro da validade,,,Sim
13712,Felipe Barros,61,Sul,Sem Contrato,Desativada,Dentro da validade,2010-10-12,2011-10-12,Sim
13713,Juliana Lima,60,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-07-07,2015-07-06,Não
13714,Ricardo Barbosa,19,Sul,Sem Contrato,Desativada,Dentro da validade,2010-05-25,2020-05-22,Não
13715,Lucas Teixeira,28,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-02-23,2020-02-21,Sim
13716,Raquel Pires Teixeira,26,Oeste,Dependente (13715),Ativada,Dentro da validade,,,Sim
13717,Fernando Alves Teixeira,32,Oeste,Dependente (13715),Ativada,Fora da validade,,,Sim
13718,Marcelo Rezende Teixeira,28,Oeste,Dependente (13715),Desativada,Dentro da validade,,,Sim
13719,Vinicius Torres Teixeira,20,Oeste,Dependente (13715),Ativada,Dentro da validade,,,Sim
13720,Isabela Castro,46,Oeste,Sem Contrato,Ativada,Fora da validade,2010-07-04,2011-07-04,Não
13721,Tatiana Moreira Castro,22,Oeste,Dependente (13720),Ativada,Fora da validade,,,Sim
13722,Daniela Sousa Castro,25,Oeste,Dependente (13720),Ativada,Dentro da validade,,,Sim
13723,Beatriz Cardoso,26,Norte,Sem Contrato,Desativada,Fora da validade,2010-12-07,2020-12-04,Não
13724,Bruna Ribeiro Cardoso,17,Norte,Dependente (13723),Desativada,Dentro da validade,,,Sim
13725,Vinicius Torres Cardoso,35,Norte,Dependente (13723),Desativada,Dentro da validade,,,Sim
13726,Patricia Rocha Cardoso,39,Norte,Dependente (13723),Desativada,Dentro da validade,2010-12-07,2020-12-04,Sim
13727,Leonardo Vieira Cardoso,42,Norte,Dependente (13723),Ativada,Dentro da validade,,,Sim
13728,Juliana Lima Cardoso,7,Norte,Dependente (13723),Ativada,Dentro da validade,,,Sim
13729,Daniela Sousa,65,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-11-02,2020-10-30,Não
13730,Gustavo Azevedo Sousa,26,Oeste,Dependente (13729),Desativada,Dentro da validade,,,Sim
13731,Felipe Barros Sousa,60,Oeste,Dependente (13729),Ativada,Dentro da validade,,,Sim
13732,Maria Santos Sousa,41,Oeste,Dependente (13729),Ativada,Dentro da validade,,,Sim
13733,Vinicius Torres Sousa,41,Oeste,Dependente (13729),Ativada,Fora da validade,,,Sim
13734,Isabela Castro Sousa,62,Oeste,Dependente (13729),Ativada,Dentro da validade,2010-11-02,2020-10-30,Sim
13735,Marcos Pereira,51,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-08-08,2015-08-07,Não
13736,Pedro Oliveira Pereira,34,Oeste,Dependente (13735),Ativada,Fora da validade,,,Sim
13737,Thiago Monteiro Pereira,12,Oeste,Dependente (13735),Desativada,Dentro da validade,,,Sim
13738,Marcos Pereira Pereira,42,Oeste,Dependente (13735),Desativada,Dentro da validade,,,Sim
13739,Paulo Nascimento,42,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-11-18,2020-11-15,Não
13740,Diego Pinto Nascimento,14,Oeste,Dependente (13739),Ativada,Fora da validade,,,Sim
13741,Cristina Machado Nascimento,55,Oeste,Dependente (13739),Ativada,Dentro da validade,,,Sim
13742,Paulo Nascimento Nascimento,58,Oeste,Dependente (13739),Ativada,Dentro da validade,2010-11-18,2020-11-15,Sim
13743,José Carvalho Nascimento,62,Oeste,Dependente (13739),Ativada,Dentro da validade,,,Sim
13744,Maria Santos Nascimento,28,Oeste,Dependente (13739),Ativada,Dentro da validade,,,Sim
13745,Patricia Rocha Nascimento,26,Oeste,Dependente (13739),Ativada,Dentro da validade,,,Sim
13746,Juliana Lima,65,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-02-09,2020-02-07,Não
13747,Ana Costa Lima,20,Oeste,Dependente (13746),Ativada,Dentro da validade,,,Sim
13748,Rafael Mendes Lima,11,Oeste,Dependente (13746),Ativada,Dentro da validade,,,Sim
13749,Roberto Martins Lima,22,Oeste,Dependente (13746),Desativada,Fora da validade,,,Sim
13750,Simone Fonseca Lima,49,Oeste,Dependente (13746),Ativada,Fora da validade,,,Sim
13751,Anderson Coelho Lima,7,Oeste,Dependente (13746),Desativada,Dentro da validade,,,Sim
13752,Eduardo Moura Lima,24,Oeste,Dependente (13746),Desativada,Fora da validade,,,Sim
13753,Eduardo Moura,64,Oeste,Sem Contrato,Ativada,Fora da validade,2010-11-27,2015-11-26,Sim
13754,Paula Melo Moura,15,Oeste,Dependente (13753),Desativada,Dentro da validade,2010-11-27,2015-11-26,Sim
13755,Bruno Castro Moura,12,Oeste,Dependente (13753),Ativada,Dentro da validade,,,Sim
13756,Roberto Martins Moura,12,Oeste,Dependente (13753),Ativada,Dentro da validade,,,Sim
13757,Henrique Lopes,43,Oeste,Sem Contrato,Ativada,Fora da validade,2010-10-05,2011-10-05,Sim
13758,Felipe Barros Lopes,36,Oeste,Dependente (13757),Ativada,Fora da validade,,,Sim
13759,Ricardo Barbosa Lopes,17,Oeste,Dependente (13757),Desativada,Dentro da validade,,,Sim
13760,Maria Santos,35,Norte,Sem Contrato,Ativada,Dentro da validade,2010-07-28,2011-07-28,Não
13761,Eduardo Moura Santos,48,Norte,Dependente (13760),Ativada,Dentro da validade,,,Sim
13762,Vinicius Torres,49,Sul,Sem Contrato,Ativada,Fora da validade,2010-03-07,2020-03-04,Não
13763,Beatriz Cardoso Torres,6,Sul,Dependente (13762),Ativada,Dentro da validade,2010-03-07,2020-03-04,Sim
13764,João Silva Torres,27,Sul,Dependente (13762),Ativada,Fora da validade,,,Sim
13765,Vinicius Torres Torres,23,Sul,Dependente (13762),Ativada,Dentro da validade,,,Sim
13766,José Carvalho Torres,28,Sul,Dependente (13762),Ativada,Dentro da validade,2010-03-07,2020-03-04,Sim
13767,Diego Pinto Torres,63,Sul,Dependente (13762),Desativada,Dentro da validade,2010-03-07,2020-03-04,Sim
13768,Monica Batista Torres,51,Sul,Dependente (13762),Desativada,Dentro da validade,,,Sim
13769,Paulo Nascimento,41,Oeste,Sem Contrato,Ativada,Fora da validade,2010-02-04,2015-02-03,Sim
13770,Monica Batista Nascimento,37,Oeste,Dependente (13769),Ativada,Dentro da validade,,,Sim
13771,Camila Rodrigues Nascimento,32,Oeste,Dependente (13769),Desativada,Dentro da validade,,,Sim
13772,Bruno Castro Nascimento,55,Oeste,Dependente (13769),Ativada,Dentro da validade,,,Sim
13773,Monica Batista Nascimento,37,Oeste,Dependente (13769),Desativada,Fora da validade,,,Sim
13774,Monica Batista Nascimento,46,Oeste,Dependente (13769),Ativada,Dentro da validade,,,Sim
13775,Monica Batista,47,Oeste,Sem Contrato,Desativada,Fora da validade,2010-03-24,2011-03-24,Sim
13776,Gustavo Azevedo Batista,64,Oeste,Dependente (13775),Desativada,Dentro da validade,,,Sim
13777,Roberto Martins Batista,53,Oeste,Dependente (13775),Ativada,Dentro da validade,,,Sim
13778,Fernando Alves Batista,19,Oeste,Dependente (13775),Desativada,Dentro da validade,,,Sim
13779,Juliana Lima,27,Oeste,Sem Contrato,Ativada,Fora da validade,2010-10-21,2020-10-18,Não
13780,Monica Batista,65,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-02-16,2020-02-14,Não
13781,Fernando Alves Batista,46,Oeste,Dependente (13780),Ativada,Fora da validade,2010-02-16,2020-02-14,Sim
13782,Tatiana Moreira,35,Norte,Sem Contrato,Ativada,Fora da validade,2010-06-30,2015-06-29,Não
13783,Maria Santos Moreira,28,Norte,Dependente (13782),Ativada,Fora da validade,,,Sim
13784,José Carvalho Moreira,21,Norte,Dependente (13782),Ativada,Dentro da validade,,,Sim
13785,Rafael Mendes Moreira,47,Norte,Dependente (13782),Ativada,Dentro da validade,,,Sim
13786,Carlos Souza Moreira,10,Norte,Dependente (13782),Ativada,Fora da validade,,,Sim
13787,Gustavo Azevedo Moreira,49,Norte,Dependente (13782),Desativada,Dentro da validade,2010-06-30,2015-06-29,Sim
13788,Carolina Freitas,36,Oeste,Sem Contrato,Ativada,Fora da validade,2010-01-05,2020-01-03,Não
13789,Lucia Ferreira Freitas,53,Oeste,Dependente (13788),Ativada,Dentro da validade,,,Sim
13790,Lucia Ferreira Freitas,31,Oeste,Dependente (13788),Ativada,Dentro da validade,,,Sim
13791,Vinicius Torres Freitas,52,Oeste,Dependente (13788),Desativada,Dentro da validade,,,Sim
13792,Rafael Mendes Freitas,34,Oeste,Dependente (13788),Ativada,Fora da validade,,,Sim
13793,Adriana Farias Freitas,33,Oeste,Dependente (13788),Desativada,Dentro da validade,2010-01-05,2020-01-03,Sim
13794,Renata Campos,28,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-04-17,2015-04-16,Sim
13795,Bruna Ribeiro,56,Oeste,Sem Contrato,Desativada,Fora da validade,2010-01-27,2020-01-25,Não
13796,Bruna Ribeiro Ribeiro,32,Oeste,Dependente (13795),Desativada,Fora da validade,2010-01-27,2020-01-25,Sim
13797,Cristina Machado Ribeiro,27,Oeste,Dependente (13795),Ativada,Fora da validade,,,Sim
13798,Carlos Souza Ribeiro,40,Oeste,Dependente (13795),Desativada,Dentro da validade,,,Sim
13799,Leticia Cunha Ribeiro,44,Oeste,Dependente (13795),Desativada,Fora da validade,,,Sim
13800,Adriana Farias,34,Oeste,Sem Contrato,Ativada,Fora da validade,2010-03-23,2011-03-23,Não
13801,Alexandre Araújo Farias,27,Oeste,Dependente (13800),Ativada,Fora da validade,,,Sim
13802,Amanda Dias Farias,62,Oeste,Dependente (13800),Ativada,Dentro da validade,2010-03-23,2011-03-23,Sim
13803,Paulo Nascimento,50,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-05-01,2011-05-01,Não
13804,Roberto Martins Nascimento,59,Oeste,Dependente (13803),Ativada,Dentro da validade,,,Sim
13805,Juliana Lima Nascimento,53,Oeste,Dependente (13803),Ativada,Dentro da validade,,,Sim
13806,Lucas Teixeira Nascimento,20,Oeste,Dependente (13803),Desativada,Dentro da validade,2010-05-01,2011-05-01,Sim
13807,Tatiana Moreira,64,Norte,Sem Contrato,Ativada,Dentro da validade,2010-02-03,2011-02-03,Sim
13808,Monica Batista Moreira,55,Norte,Dependente (13807),Desativada,Dentro da validade,2010-02-03,2011-02-03,Sim
13809,Fernando Alves,27,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-09-23,2011-09-23,Não
13810,Paulo Nascimento Alves,32,Oeste,Dependente (13809),Ativada,Dentro da validade,,,Sim
13811,Patricia Rocha Alves,24,Oeste,Dependente (13809),Ativada,Fora da validade,,,Sim
13812,Cristina Machado Alves,56,Oeste,Dependente (13809),Ativada,Fora da validade,2010-09-23,2011-09-23,Sim
13813,Fernando Alves,30,Oeste,Sem Contrato,Desativada,Fora da validade,2010-01-05,2015-01-04,Não
13814,João Silva Alves,63,Oeste,Dependente (13813),Ativada,Dentro da validade,2010-01-05,2015-01-04,Sim
13815,Lucas Teixeira Alves,50,Oeste,Dependente (13813),Desativada,Dentro da validade,,,Sim
13816,Beatriz Cardoso Alves,49,Oeste,Dependente (13813),Ativada,Fora da validade,,,Sim
13817,Gustavo Azevedo,25,Sul,Sem Contrato,Ativada,Dentro da validade,2010-11-12,2015-11-11,Não
13818,Juliana Lima Azevedo,56,Sul,Dependente (13817),Ativada,Dentro da validade,,,Sim
13819,Ricardo Barbosa Azevedo,21,Sul,Dependente (13817),Ativada,Dentro da validade,,,Sim
13820,Maria Santos,52,Norte,Sem Contrato,Ativada,Dentro da validade,2010-08-31,2011-08-31,Sim
13821,Bruno Castro Santos,27,Norte,Dependente (13820),Desativada,Dentro da validade,,,Sim
13822,Felipe Barros Santos,43,Norte,Dependente (13820),Desativada,Dentro da validade,,,Sim
13823,Alexandre Araújo Santos,25,Norte,Dependente (13820),Ativada,Dentro da validade,2010-08-31,2011-08-31,Sim
13824,Mariana Duarte,20,Oeste,Sem Contrato,Ativada,Fora da validade,2010-03-05,2020-03-02,Não
13825,Thiago Monteiro Duarte,49,Oeste,Dependente (13824),Ativada,Dentro da validade,,,Sim
13826,Pedro Oliveira Duarte,28,Oeste,Dependente (13824),Desativada,Fora da validade,,,Sim
13827,Isabela Castro,61,Sul,Sem Contrato,Desativada,Fora da validade,2010-03-30,2011-03-30,Não
13828,Monica Batista Castro,8,Sul,Dependente (13827),Ativada,Dentro da validade,,,Sim
13829,João Silva Castro,36,Sul,Dependente (13827),Ativada,Dentro da validade,2010-03-30,2011-03-30,Sim
13830,Camila Rodrigues Castro,26,Sul,Dependente (13827),Ativada,Dentro da validade,,,Sim
13831,Tatiana Moreira,64,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-10-20,2015-10-19,Sim
13832,Vanessa Correia Moreira,25,Oeste,Dependente (13831),Ativada,Dentro da validade,,,Sim
13833,Thiago Monteiro Moreira,6,Oeste,Dependente (13831),Desativada,Dentro da validade,,,Sim
13834,Patricia Rocha Moreira,14,Oeste,Dependente (13831),Ativada,Dentro da validade,,,Sim
13835,Marcelo Rezende Moreira,41,Oeste,Dependente (13831),Desativada,Fora da validade,,,Sim
13836,Mariana Duarte Moreira,21,Oeste,Dependente (13831),Ativada,Fora da validade,2010-10-20,2015-10-19,Sim
13837,Henrique Lopes,24,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-09-16,2020-09-13,Sim
13838,Rodrigo Neves Lopes,65,Oeste,Dependente (13837),Ativada,Fora da validade,,,Sim
13839,Patricia Rocha Lopes,32,Oeste,Dependente (13837),Ativada,Dentro da validade,,,Sim
13840,Tatiana Moreira Lopes,15,Oeste,Dependente (13837),Ativada,Dentro da validade,,,Sim
13841,Maria Santos Lopes,23,Oeste,Dependente (13837),Ativada,Fora da validade,,,Sim
13842,João Silva,19,Oeste,Sem Contrato,Desativada,Fora da validade,2010-01-06,2015-01-05,Sim
13843,Eduardo Moura Silva,13,Oeste,Dependente (13842),Ativada,Fora da validade,,,Sim
13844,Bruno Castro,21,Oeste,Sem Contrato,Ativada,Dentro da validade,2010-04-21,2020-04-18,Não
13845,Henrique Lopes Castro,58,Oeste,Dependente (13844),Ativada,Dentro da validade,,,Sim
13846,Mariana Duarte,63,Norte,Sem Contrato,Ativada,Dentro da validade,2010-01-13,2011-01-13,Não
13847,Patricia Rocha,49,Oeste,Sem Contrato,Desativada,Dentro da validade,2010-07-04,2015-07-03,Sim
